classifier_name,archive_name,dataset_name,iteration,precision,accuracy,recall,duration
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,ECG5000,0.0,0.7059880090058264,0.9393333333333334,0.5765229546627861,29.8347647190094
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,ToeSegmentation1,0.0,0.9733682266009852,0.9736842105263158,0.974537037037037,0.03741669654846192
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,ScreenType,0.0,0.594354505618538,0.584,0.584,27.314456224441532
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,WordsSynonyms,0.0,0.7035891142569555,0.7633228840125392,0.6337640640618648,27.080034494400024
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,Wine,0.0,0.6363636363636364,0.6296296296296297,0.6296296296296295,0.01366567611694336
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,RefrigerationDevices,0.0,0.5057311042253021,0.5146666666666667,0.5146666666666666,27.12547516822815
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,Cricket_Y,0.0,0.8675827908651962,0.8666666666666667,0.8667437545393241,26.608761310577393
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,50words,0.0,0.7574625307065708,0.8483516483516483,0.7402169932750428,26.822750568389893
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,SonyAIBORobotSurfaceII,0.0,0.9476470265976388,0.9538300104931794,0.9568702823595192,0.04261064529418945
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,ChlorineConcentration,0.0,0.8731152560954184,0.878125,0.8479098250817169,29.600695371627808
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,uWaveGestureLibrary_Z,0.0,0.7533592087595562,0.7610273590173088,0.762678490246482,31.27690577507019
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,ShapesAll,0.0,0.9396352639734992,0.925,0.925,27.380455493927002
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,Coffee,0.0,1.0,1.0,1.0,0.026731014251708984
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,ItalyPowerDemand,0.0,0.96604236250699,0.9659863945578232,0.9659719388911556,0.022530317306518555
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,Lighting2,0.0,0.8184267241379308,0.819672131147541,0.8198051948051948,0.018726110458374023
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,DistalPhalanxOutlineCorrect,0.0,0.7804243281471004,0.7826086956521741,0.7677018633540372,26.365830898284912
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,FaceAll,0.0,0.8997677202974251,0.8159763313609467,0.9165829784767036,27.62898969650269
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,ToeSegmentation2,0.0,0.8870967741935484,0.946153846153846,0.9669811320754718,0.02941107749938965
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,ArrowHead,0.0,0.8439703153988868,0.8342857142857143,0.8496946495305807,0.02059459686279297
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,OSULeaf,0.0,0.9261498708010336,0.9256198347107438,0.898124098124098,21.081557035446167
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,Beef,0.0,0.7666666666666666,0.6666666666666666,0.6666666666666666,0.019611597061157227
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,SmallKitchenAppliances,0.0,0.7605746632832325,0.76,0.7600000000000001,27.131052017211914
nne/inception/nb_filters/64-0-1-2-3-4-,TSC,FISH,0.0,0.9826007326007326,0.9828571428571428,0.983169129720854,0.04954838752746582
