,classifier_name,archive_name,dataset_name,iteration,precision,accuracy,recall,train_time,test_time
768,nne/inception/batch_size/16-0-1-2-3-4-,TSC,DiatomSizeReduction,0.0,0.9572072072072072,0.9379084967320259,0.9199709864603484,0.0,0.0
769,nne/inception/batch_size/16-0-1-2-3-4-,TSC,ProximalPhalanxOutlineCorrect,0.0,0.9193697868396664,0.9209621993127148,0.8954555385623771,0.0,0.0
770,nne/inception/batch_size/16-0-1-2-3-4-,TSC,MedicalImages,0.0,0.7947228873368332,0.8013157894736842,0.7861807112279227,0.0,0.0
771,nne/inception/batch_size/16-0-1-2-3-4-,TSC,ElectricDevices,0.0,0.7097111316772065,0.726235248346518,0.6470774502147733,0.0,0.0
772,nne/inception/batch_size/16-0-1-2-3-4-,TSC,Ham,0.0,0.7641857037582904,0.7619047619047619,0.7603485838779956,0.0,0.0
773,nne/inception/batch_size/16-0-1-2-3-4-,TSC,uWaveGestureLibrary_X,0.0,0.8254642826454144,0.8297040759352318,0.8280172100071559,0.0,0.0
774,nne/inception/batch_size/16-0-1-2-3-4-,TSC,ProximalPhalanxOutlineAgeGroup,0.0,0.7350713238686053,0.8390243902439024,0.7665329768270945,0.0,0.0
775,nne/inception/batch_size/16-0-1-2-3-4-,TSC,ECG200,0.0,0.9180035650623886,0.92,0.9071180555555556,0.0,0.0
776,nne/inception/batch_size/16-0-1-2-3-4-,TSC,DistalPhalanxOutlineAgeGroup,0.0,0.6699781061850026,0.6978417266187049,0.7223815732290308,0.0,0.0
777,nne/inception/batch_size/16-0-1-2-3-4-,TSC,wafer,0.0,0.9918639053254438,0.9982154445165476,0.9989998181487544,0.0,0.0
778,nne/inception/batch_size/16-0-1-2-3-4-,TSC,PhalangesOutlinesCorrect,0.0,0.8602366478506296,0.8601398601398601,0.8420507123551241,0.0,0.0
779,nne/inception/batch_size/16-0-1-2-3-4-,TSC,MALLAT,0.0,0.972105616917012,0.9697228144989342,0.9698054409288392,0.0,0.0
780,nne/inception/batch_size/16-0-1-2-3-4-,TSC,InsectWingbeatSound,0.0,0.6408688223946446,0.6404040404040404,0.6404040404040404,0.0,0.0
781,nne/inception/batch_size/16-0-1-2-3-4-,TSC,Earthquakes,0.0,0.5653625954198473,0.7338129496402878,0.5188186813186813,0.0,0.0
782,nne/inception/batch_size/16-0-1-2-3-4-,TSC,WormsTwoClass,0.0,0.7638513513513514,0.7662337662337663,0.7689393939393939,0.0,0.0
783,nne/inception/batch_size/16-0-1-2-3-4-,TSC,HandOutlines,0.0,0.9574482035142932,0.954054054054054,0.9426890009834712,0.0,0.0
784,nne/inception/batch_size/16-0-1-2-3-4-,TSC,ProximalPhalanxTW,0.0,0.5550781550781551,0.7804878048780488,0.5308013503909027,0.0,0.0
